KPI_SK,KPI_DATAELEMENT_SK,KPI_NAME,KPI_DESC,KPI_DATAELEMENT_NAME,KPI_GROUP,KPI_LEVEL,NUMERIC_VALUE,UOM,PERIOD,START_DATE,END_DATE,TARGET_VALUE,TRENDING_DIRECTION,PRIORITY_OUTCOME,PRIORITY_OUTCOME_DESC,PRIORITY_NAME,PRIORITY_AREA_NAME,PRIORITY_AREA_DESC
6,2452,Number of people available for employment - Labour Force Size,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed (Statistics Canada data)",Current Number of people available for employment - Labour Force Size,,1,255400,,2019,1/4/2019,31/03/2020,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
6,2452,Number of people available for employment - Labour Force Size,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed (Statistics Canada data)",Current Number of people available for employment - Labour Force Size,,1,255900,,2020,1/4/2020,31/03/2021,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
8,2454,Number of Open Data Sets,Number of data sets available via the Municipality's Open Data catalogue (Municipal data),Current Number of Open Data Sets,,1,30,,2015,1/4/2015,31/03/2016,,UP,Exceptional Customer Service,Residents receive exceptional service provided through customer-centric planning and continuous improvement.,Admin Priority,Service Excellence,The municipality innovates and makes evidence-based decisions to meet or exceed the expectations of the people we serve.
8,2454,Number of Open Data Sets,Number of data sets available via the Municipality's Open Data catalogue (Municipal data),Current Number of Open Data Sets,,1,35,,2016,1/4/2016,31/03/2017,,UP,Exceptional Customer Service,Residents receive exceptional service provided through customer-centric planning and continuous improvement.,Admin Priority,Service Excellence,The municipality innovates and makes evidence-based decisions to meet or exceed the expectations of the people we serve.
8,2454,Number of Open Data Sets,Number of data sets available via the Municipality's Open Data catalogue (Municipal data),Current Number of Open Data Sets,,1,56,,2017,1/4/2017,31/03/2018,,UP,Exceptional Customer Service,Residents receive exceptional service provided through customer-centric planning and continuous improvement.,Admin Priority,Service Excellence,The municipality innovates and makes evidence-based decisions to meet or exceed the expectations of the people we serve.
8,2454,Number of Open Data Sets,Number of data sets available via the Municipality's Open Data catalogue (Municipal data),Current Number of Open Data Sets,,1,76,,2018,1/4/2018,31/03/2019,,UP,Exceptional Customer Service,Residents receive exceptional service provided through customer-centric planning and continuous improvement.,Admin Priority,Service Excellence,The municipality innovates and makes evidence-based decisions to meet or exceed the expectations of the people we serve.
8,2454,Number of Open Data Sets,Number of data sets available via the Municipality's Open Data catalogue (Municipal data),Current Number of Open Data Sets,,1,110,,2019,1/4/2019,31/03/2020,,UP,Exceptional Customer Service,Residents receive exceptional service provided through customer-centric planning and continuous improvement.,Admin Priority,Service Excellence,The municipality innovates and makes evidence-based decisions to meet or exceed the expectations of the people we serve.
8,2454,Number of Open Data Sets,Number of data sets available via the Municipality's Open Data catalogue (Municipal data),Current Number of Open Data Sets,,1,145,,2020,1/4/2020,31/03/2021,,UP,Exceptional Customer Service,Residents receive exceptional service provided through customer-centric planning and continuous improvement.,Admin Priority,Service Excellence,The municipality innovates and makes evidence-based decisions to meet or exceed the expectations of the people we serve.
9,2456,3 Year Change in Tax Base (Percentage),Measures the percentage change of the municipal tax base  over three years (Municipal Profile and Financial Condition Indicators - Province of Nova Scotia data),Current 3 Year Change in Tax Base (Percentage),,1,11.5,%,2019,1/4/2019,31/03/2020,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
9,2456,3 Year Change in Tax Base (Percentage),Measures the percentage change of the municipal tax base  over three years (Municipal Profile and Financial Condition Indicators - Province of Nova Scotia data),Current 3 Year Change in Tax Base (Percentage),,1,13,%,2018,1/4/2018,31/03/2019,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
9,2456,3 Year Change in Tax Base (Percentage),Measures the percentage change of the municipal tax base  over three years (Municipal Profile and Financial Condition Indicators - Province of Nova Scotia data),Current 3 Year Change in Tax Base (Percentage),,1,15.9,%,2017,1/4/2017,31/03/2018,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
9,2456,3 Year Change in Tax Base (Percentage),Measures the percentage change of the municipal tax base  over three years (Municipal Profile and Financial Condition Indicators - Province of Nova Scotia data),Current 3 Year Change in Tax Base (Percentage),,1,18.4,%,2016,1/4/2016,31/03/2017,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
10,2458,Municipal portion of the avg tax for a single family home (Dollars),Annual Municipal portion of the average property tax for single family home (Municipal data),Current Municipal portion of the avg tax for a single family home (Dollars),,1,1835,$,2016,1/4/2016,31/03/2017,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
10,2458,Municipal portion of the avg tax for a single family home (Dollars),Annual Municipal portion of the average property tax for single family home (Municipal data),Current Municipal portion of the avg tax for a single family home (Dollars),,1,1874,$,2017,1/4/2017,31/03/2018,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
10,2458,Municipal portion of the avg tax for a single family home (Dollars),Annual Municipal portion of the average property tax for single family home (Municipal data),Current Municipal portion of the avg tax for a single family home (Dollars),,1,1917,$,2018,1/4/2018,31/03/2019,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
10,2458,Municipal portion of the avg tax for a single family home (Dollars),Annual Municipal portion of the average property tax for single family home (Municipal data),Current Municipal portion of the avg tax for a single family home (Dollars),,1,1967,$,2019,1/4/2019,31/03/2020,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
10,2458,Municipal portion of the avg tax for a single family home (Dollars),Annual Municipal portion of the average property tax for single family home (Municipal data),Current Municipal portion of the avg tax for a single family home (Dollars),,1,2003,$,2020,1/4/2020,31/03/2021,,MONITOR,Financially Prepared,"Finances are planned and managed to ensure sustainability, support growth, and deliver quality municipal services.",Admin Priority,Responsible Administration ,"The municipality enables appropriate stewardship of municipal affairs by being well-managed, financially prepared, and community-focused."
11,2460,Annual Transit Ridership,"Total annual transit ridership - Conventional, Access-a-bus, Ferry (Municipal data) ",Current Annual Transit Ridership,,1,14109495,,2020,1/4/2020,31/03/2021,,UP,Connected & Healthy Long-Range Mobility Planning,"The mobility network supports active living, growth and development, and links people and communities with goods, services and opportunities using all transportation modes, including walking, rolling, cycling, public transit and driving.",Council Priority,Integrated Mobility,"The municipality offers safe, sustainable and accessible travel options to move conveniently throughout the region. "
11,2460,Annual Transit Ridership,"Total annual transit ridership - Conventional, Access-a-bus, Ferry (Municipal data) ",Current Annual Transit Ridership,,1,27143589,,2017,1/4/2017,31/03/2018,,UP,Connected & Healthy Long-Range Mobility Planning,"The mobility network supports active living, growth and development, and links people and communities with goods, services and opportunities using all transportation modes, including walking, rolling, cycling, public transit and driving.",Council Priority,Integrated Mobility,"The municipality offers safe, sustainable and accessible travel options to move conveniently throughout the region. "
11,2460,Annual Transit Ridership,"Total annual transit ridership - Conventional, Access-a-bus, Ferry (Municipal data) ",Current Annual Transit Ridership,,1,28901479,,2018,1/4/2018,31/03/2019,,UP,Connected & Healthy Long-Range Mobility Planning,"The mobility network supports active living, growth and development, and links people and communities with goods, services and opportunities using all transportation modes, including walking, rolling, cycling, public transit and driving.",Council Priority,Integrated Mobility,"The municipality offers safe, sustainable and accessible travel options to move conveniently throughout the region. "
11,2460,Annual Transit Ridership,"Total annual transit ridership - Conventional, Access-a-bus, Ferry (Municipal data) ",Current Annual Transit Ridership,,1,30401180,,2019,1/4/2019,31/03/2020,,UP,Connected & Healthy Long-Range Mobility Planning,"The mobility network supports active living, growth and development, and links people and communities with goods, services and opportunities using all transportation modes, including walking, rolling, cycling, public transit and driving.",Council Priority,Integrated Mobility,"The municipality offers safe, sustainable and accessible travel options to move conveniently throughout the region. "
15,2462,"Number of Fatal and Injury collisions per 100,000 population","Number of Fatal and Injury Collisions per 100,000 Population (Provincial and Municipal right of ways, Municipal data)","Current Number of Fatal and Injury collisions per 100,000 population",,1,133.77,,2020,1/4/2020,31/03/2021,,DOWN,Safe & Accessible Integrated Mobility Network,"A well-maintained network supports all ages and abilities by providing safe, flexible, and barrier-free journeys throughout the region.",Council Priority,Integrated Mobility,"The municipality offers safe, sustainable and accessible travel options to move conveniently throughout the region. "
15,2462,"Number of Fatal and Injury collisions per 100,000 population","Number of Fatal and Injury Collisions per 100,000 Population (Provincial and Municipal right of ways, Municipal data)","Current Number of Fatal and Injury collisions per 100,000 population",,1,177.89,,2018,1/4/2018,31/03/2019,,DOWN,Safe & Accessible Integrated Mobility Network,"A well-maintained network supports all ages and abilities by providing safe, flexible, and barrier-free journeys throughout the region.",Council Priority,Integrated Mobility,"The municipality offers safe, sustainable and accessible travel options to move conveniently throughout the region. "
15,2462,"Number of Fatal and Injury collisions per 100,000 population","Number of Fatal and Injury Collisions per 100,000 Population (Provincial and Municipal right of ways, Municipal data)","Current Number of Fatal and Injury collisions per 100,000 population",,1,188.94,,2019,1/4/2019,31/03/2020,,DOWN,Safe & Accessible Integrated Mobility Network,"A well-maintained network supports all ages and abilities by providing safe, flexible, and barrier-free journeys throughout the region.",Council Priority,Integrated Mobility,"The municipality offers safe, sustainable and accessible travel options to move conveniently throughout the region. "
16,2464,Gross Domestic Product ($ millions),Gross domestic product is a measure of the market value of all the final goods and services produced within the Municipality (Conference Board of Canada data),Current Gross Domestic Product ($ millions),,1,20043,$ millions,2017,1/4/2017,31/03/2018,22500,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
16,2464,Gross Domestic Product ($ millions),Gross domestic product is a measure of the market value of all the final goods and services produced within the Municipality (Conference Board of Canada data),Current Gross Domestic Product ($ millions),,1,20438,$ millions,2018,1/4/2018,31/03/2019,22500,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
16,2464,Gross Domestic Product ($ millions),Gross domestic product is a measure of the market value of all the final goods and services produced within the Municipality (Conference Board of Canada data),Current Gross Domestic Product ($ millions),,1,20786,$ millions,2020,1/4/2020,31/03/2021,22500,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
16,2464,Gross Domestic Product ($ millions),Gross domestic product is a measure of the market value of all the final goods and services produced within the Municipality (Conference Board of Canada data),Current Gross Domestic Product ($ millions),,1,21179,$ millions,2019,1/4/2019,31/03/2020,22500,UP,Economic Growth,"Economic opportunities are seized to promote and maximize balanced growth, reduce barriers for businesses, support local economies and showcase the region’s strengths to the world.",Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
18,2466,Total Crime Severity Index (0 to 100),"The Crime Severity Index measures changes in the level of severity of crime year to year, with a higher rating for more serious crimes and standardized to 100 (Statistics Canada data)",Current Total Crime Severity Index (0 to 100),H,1,60.91,Score from 0 to 100,2019,1/4/2019,31/03/2020,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
18,2466,Total Crime Severity Index (0 to 100),"The Crime Severity Index measures changes in the level of severity of crime year to year, with a higher rating for more serious crimes and standardized to 100 (Statistics Canada data)",Current Total Crime Severity Index (0 to 100),H,1,61.88,Score from 0 to 100,2020,1/4/2020,31/03/2021,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
18,2466,Total Crime Severity Index (0 to 100),"The Crime Severity Index measures changes in the level of severity of crime year to year, with a higher rating for more serious crimes and standardized to 100 (Statistics Canada data)",Current Total Crime Severity Index (0 to 100),H,1,63.32,Score from 0 to 100,2016,1/4/2016,31/03/2017,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
18,2466,Total Crime Severity Index (0 to 100),"The Crime Severity Index measures changes in the level of severity of crime year to year, with a higher rating for more serious crimes and standardized to 100 (Statistics Canada data)",Current Total Crime Severity Index (0 to 100),H,1,65.06,Score from 0 to 100,2015,1/4/2015,31/03/2016,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
18,2466,Total Crime Severity Index (0 to 100),"The Crime Severity Index measures changes in the level of severity of crime year to year, with a higher rating for more serious crimes and standardized to 100 (Statistics Canada data)",Current Total Crime Severity Index (0 to 100),H,1,66,Score from 0 to 100,2017,1/4/2017,31/03/2018,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
18,2466,Total Crime Severity Index (0 to 100),"The Crime Severity Index measures changes in the level of severity of crime year to year, with a higher rating for more serious crimes and standardized to 100 (Statistics Canada data)",Current Total Crime Severity Index (0 to 100),H,1,67.47,Score from 0 to 100,2018,1/4/2018,31/03/2019,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
19,2468,Violent Crime Severity Index (0 to 100),The Violent Crime Severity Index measures violent incidence of crime and its characteristic with more serious crimes assigned higher weights and standardized to 100 (Statistics Canada data),Current Violent Crime Severity Index (0 to 100),H,2,79.8,Score from 0 to 100,2015,1/4/2015,31/03/2016,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
19,2468,Violent Crime Severity Index (0 to 100),The Violent Crime Severity Index measures violent incidence of crime and its characteristic with more serious crimes assigned higher weights and standardized to 100 (Statistics Canada data),Current Violent Crime Severity Index (0 to 100),H,2,81.95,Score from 0 to 100,2016,1/4/2016,31/03/2017,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
19,2468,Violent Crime Severity Index (0 to 100),The Violent Crime Severity Index measures violent incidence of crime and its characteristic with more serious crimes assigned higher weights and standardized to 100 (Statistics Canada data),Current Violent Crime Severity Index (0 to 100),H,2,83.83,Score from 0 to 100,2020,1/4/2020,31/03/2021,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
19,2468,Violent Crime Severity Index (0 to 100),The Violent Crime Severity Index measures violent incidence of crime and its characteristic with more serious crimes assigned higher weights and standardized to 100 (Statistics Canada data),Current Violent Crime Severity Index (0 to 100),H,2,84.16,Score from 0 to 100,2019,1/4/2019,31/03/2020,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
19,2468,Violent Crime Severity Index (0 to 100),The Violent Crime Severity Index measures violent incidence of crime and its characteristic with more serious crimes assigned higher weights and standardized to 100 (Statistics Canada data),Current Violent Crime Severity Index (0 to 100),H,2,88.84,Score from 0 to 100,2017,1/4/2017,31/03/2018,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
19,2468,Violent Crime Severity Index (0 to 100),The Violent Crime Severity Index measures violent incidence of crime and its characteristic with more serious crimes assigned higher weights and standardized to 100 (Statistics Canada data),Current Violent Crime Severity Index (0 to 100),H,2,96.63,Score from 0 to 100,2018,1/4/2018,31/03/2019,,DOWN,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
20,2470,Net Migration,The total number of people moving into the municipality (Statistics Canada data),Current Net Migration,F,1,8212,,2017,1/4/2017,31/03/2018,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
20,2470,Net Migration,The total number of people moving into the municipality (Statistics Canada data),Current Net Migration,F,1,9926,,2018,1/4/2018,31/03/2019,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
